ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
48;9787577;2022-10-06 19:21:03.0;2022-10-11 09:01:30.0;20;20;2022-10-12 14:48:50.0;66;MAIPU;Recepcionada;'9787577',
48;9787618;2022-10-06 19:21:03.0;2022-10-11 09:01:47.0;5;5;2022-10-12 14:48:50.0;66;MAIPU;Recepcionada;'9787618',
48;9787578;2022-10-06 19:21:03.0;2022-10-11 09:03:36.0;5;5;2022-10-13 09:20:44.0;14;RANCAGUA;Recepcionada;'9787578',
48;9787590;2022-10-06 19:21:03.0;2022-10-11 09:08:01.0;20;20;null;29;ALAMEDA CENTRO;Emitida;'9787590',
48;9787650;2022-10-06 19:21:03.0;2022-10-11 09:08:37.0;20;20;null;29;ALAMEDA CENTRO;Emitida;'9787650',
48;9787592;2022-10-06 19:21:04.0;2022-10-11 09:04:47.0;16;16;2022-10-12 10:38:06.0;60;VIÑA CENTRO;Recepcionada;'9787592',
48;9787652;2022-10-06 19:27:03.0;2022-10-11 09:08:47.0;21;21;null;29;ALAMEDA CENTRO;Emitida;'9787652',
48;9787635;2022-10-07 17:21:03.0;2022-10-11 09:05:09.0;24;60;2022-10-12 09:47:43.0;60;VIÑA CENTRO;Recepcionada;'9787635',
48;9787649;2022-10-07 17:21:03.0;2022-10-14 11:22:35.0;18;33;2022-10-17 10:18:42.0;8;PUENTE ALTO;Recepcionada;'9787649',
48;9787636;2022-10-07 17:21:04.0;2022-10-11 09:02:24.0;20;43;2022-10-12 14:48:50.0;66;MAIPU;Recepcionada;'9787636',
48;9787692;2022-10-07 17:21:04.0;2022-10-11 09:02:37.0;19;60;2022-10-12 14:48:50.0;66;MAIPU;Recepcionada;'9787692',
48;9787637;2022-10-07 17:21:04.0;2022-10-11 09:04:01.0;21;52;2022-10-13 09:20:44.0;14;RANCAGUA;Recepcionada;'9787637',
48;9787681;2022-10-07 17:21:04.0;2022-10-11 09:09:28.0;20;48;null;29;ALAMEDA CENTRO;Emitida;'9787681',
48;9787683;2022-10-07 17:21:04.0;2022-10-11 09:09:38.0;29;47;null;29;ALAMEDA CENTRO;Emitida;'9787683',
48;9787640;2022-10-07 17:21:05.0;2022-10-11 09:08:13.0;20;42;null;29;ALAMEDA CENTRO;Emitida;'9787640',
48;9787680;2022-10-07 17:21:05.0;2022-10-11 09:09:18.0;20;57;null;29;ALAMEDA CENTRO;Emitida;'9787680',
48;9787693;2022-10-08 17:21:04.0;2022-10-11 09:03:01.0;10;15;2022-10-12 14:48:50.0;66;MAIPU;Recepcionada;'9787693',
48;9787691;2022-10-08 17:21:04.0;2022-10-11 09:04:18.0;4;4;2022-10-13 09:20:44.0;14;RANCAGUA;Recepcionada;'9787691',
48;9787679;2022-10-08 17:21:04.0;2022-10-11 09:05:20.0;7;7;2022-10-12 09:44:11.0;60;VIÑA CENTRO;Recepcionada;'9787679',
48;9787696;2022-10-08 17:21:04.0;2022-10-11 09:09:55.0;11;11;null;29;ALAMEDA CENTRO;Emitida;'9787696',
48;9787678;2022-10-08 17:21:05.0;2022-10-14 11:22:45.0;2;2;2022-10-17 10:18:42.0;8;PUENTE ALTO;Recepcionada;'9787678',
70;5629590;2022-10-11 10:06:07.0;2022-10-11 10:16:01.0;278;4079;2022-10-12 15:33:13.0;52;SANTA CRUZ;Recepcionada;'5629590',
70;5629578;2022-10-11 10:33:18.0;2022-10-11 10:35:59.0;307;4085;2022-10-12 08:24:38.0;69;SAN BERNARDO;Recepcionada;'5629578',
70;5629577;2022-10-11 10:42:32.0;2022-10-11 11:01:35.0;693;10023;2022-10-12 14:06:11.0;66;MAIPU;Recepcionada;'5629577',
