ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
70;5631513;2022-12-21 13:18:15.0;2022-12-21 13:21:26.0;486;7524;2022-12-23 11:47:13.0;20;TEMUCO MONTT;Recepcionada;'5631513',
70;5631514;2022-12-21 13:33:11.0;2022-12-21 13:34:28.0;144;2129;2022-12-22 08:51:25.0;19;TEMUCO VIVO;Recepcionada;'5631514',
70;5631509;2022-12-21 13:42:23.0;2022-12-21 13:45:00.0;544;7045;2022-12-22 06:50:25.0;4;LA SERENA;Recepcionada;'5631509',
70;5631519;2022-12-21 14:03:22.0;2022-12-21 14:04:42.0;433;8142;2022-12-22 08:39:24.0;60;VIÑA CENTRO;Recepcionada;'5631519',
48;9790750;2022-12-21 14:18:05.0;null;4;9;null;0;SUCURSAL N-A;Generada;'9790750',
70;5631600;2022-12-21 15:12:13.0;2022-12-21 15:13:39.0;456;8185;2022-12-22 11:08:20.0;68;ARAUCO MAIPU;Recepcionada;'5631600',
70;5631520;2022-12-21 15:27:05.0;2022-12-21 15:35:25.0;262;3585;2022-12-22 09:38:36.0;42;RANCAGUA PLAZA AMERICA;Recepcionada;'5631520',
70;5631591;2022-12-21 15:33:09.0;2022-12-21 15:43:46.0;403;5555;2022-12-22 12:07:42.0;17;LINARES;Recepcionada;'5631591',
70;5631481;2022-12-21 15:51:10.0;2022-12-21 15:54:00.0;601;8315;2022-12-22 09:16:34.0;69;SAN BERNARDO;Recepcionada;'5631481',
70;5631594;2022-12-21 16:12:17.0;2022-12-21 16:15:36.0;370;5197;2022-12-22 12:02:11.0;63;SAN FERNANDO;Recepcionada;'5631594',
70;5631610;2022-12-21 16:12:35.0;2022-12-21 16:14:56.0;572;7845;2022-12-21 21:33:45.0;14;RANCAGUA;Recepcionada;'5631610',
70;5631631;2022-12-21 16:27:04.0;2022-12-21 16:33:34.0;20;243;2022-12-22 08:52:53.0;60;VIÑA CENTRO;Recepcionada;'5631631',
70;5631525;2022-12-21 16:42:14.0;2022-12-21 16:45:45.0;384;5167;2022-12-22 08:56:29.0;8;PUENTE ALTO;Recepcionada;'5631525',
70;5631522;2022-12-21 17:03:12.0;2022-12-21 17:04:08.0;174;7109;2022-12-22 00:53:48.0;53;LA FLORIDA;Recepcionada;'5631522',
70;5631627;2022-12-22 08:06:08.0;2022-12-22 08:11:39.0;392;5535;2022-12-27 09:57:07.0;48;PORTAL COMERCIO ELECTRONICO CORONA;Recepcionada;'5631627',
48;9790780;2022-12-22 09:03:02.0;2022-12-22 09:03:24.0;1;1;2022-12-26 18:29:02.0;29;ALAMEDA CENTRO;Recepcionada;'9790780',
48;9790753;2022-12-22 09:03:03.0;2022-12-22 09:03:46.0;3;4;2022-12-23 13:38:11.0;66;MAIPU;Recepcionada;'9790753',
