ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
94;623881;2022-10-13 18:18:11.0;2022-10-13 18:25:51.0;102;1763;2022-10-17 09:10:31.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623881',
63;623882;2022-10-13 19:15:35.0;2022-10-13 19:20:06.0;15;187;2022-10-15 12:17:02.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623882',
63;623883;2022-10-13 19:26:23.0;2022-10-13 19:29:23.0;20;360;2022-10-15 12:17:14.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623883',
63;623884;2022-10-13 19:36:59.0;2022-10-13 19:39:10.0;20;400;2022-10-15 12:17:25.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623884',
63;623885;2022-10-13 19:43:29.0;2022-10-13 19:49:03.0;22;440;2022-10-15 12:17:38.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623885',
41;623886;2022-10-14 10:14:08.0;2022-10-14 11:54:14.0;85;1218;2022-10-17 09:09:09.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623886',
23;623887;2022-10-14 12:53:20.0;2022-10-14 13:02:53.0;1;1;null;49;BODEGA EXTERNA LOGINSA;Emitida;'623887',
46;623889;2022-10-14 14:30:28.0;2022-10-14 17:37:44.0;45;627;2022-10-18 09:57:45.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623889',
52;623953;2022-10-14 16:36:07.0;2022-10-17 10:08:08.0;20;334;2022-10-18 09:00:57.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623953',
52;623954;2022-10-14 16:38:20.0;2022-10-17 10:09:59.0;25;308;2022-10-18 09:00:42.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623954',
52;623955;2022-10-14 16:42:56.0;2022-10-17 10:11:08.0;25;310;2022-10-18 09:00:25.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623955',
52;623956;2022-10-14 16:45:37.0;2022-10-17 10:12:23.0;16;304;2022-10-18 09:00:08.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623956',
52;623957;2022-10-14 16:49:23.0;2022-10-17 10:14:58.0;16;320;2022-10-18 08:59:45.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623957',
52;623958;2022-10-14 16:53:47.0;2022-10-17 10:16:25.0;18;314;2022-10-18 08:59:34.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623958',
52;623959;2022-10-14 16:57:23.0;2022-10-17 10:17:54.0;25;309;2022-10-18 08:59:20.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623959',
52;623960;2022-10-14 17:00:45.0;2022-10-17 10:19:14.0;25;306;2022-10-18 08:59:03.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623960',
52;623961;2022-10-14 17:02:59.0;2022-10-17 10:20:59.0;15;193;2022-10-18 08:58:51.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623961',
76;623962;2022-10-14 18:23:00.0;2022-10-18 12:07:09.0;60;738;null;117;ALAMEDA NORTE;Emitida;'623962',
52;623963;2022-10-14 18:46:40.0;2022-10-17 10:13:36.0;27;270;2022-10-18 08:59:56.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623963',
