ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
48;9790136;2022-12-13 16:36:03.0;2022-12-16 08:13:17.0;1;3;null;23;VALDIVIA;Emitida;'9790136',
48;9790146;2022-12-13 16:36:03.0;2022-12-16 08:16:08.0;1;3;2022-12-17 12:42:06.0;15;CURICO;Recepcionada;'9790146',
48;9790162;2022-12-14 08:33:04.0;2022-12-16 08:16:18.0;7;21;2022-12-17 12:53:25.0;15;CURICO;Recepcionada;'9790162',
48;9790188;2022-12-14 16:21:05.0;2022-12-16 08:19:00.0;2;5;2022-12-19 12:23:37.0;60;VIÑA CENTRO;Recepcionada;'9790188',
48;9790183;2022-12-14 16:21:05.0;2022-12-16 08:21:09.0;4;5;2022-12-19 09:32:20.0;8;PUENTE ALTO;Recepcionada;'9790183',
48;9790181;2022-12-14 16:27:01.0;2022-12-16 08:13:39.0;2;3;null;23;VALDIVIA;Emitida;'9790181',
48;9790184;2022-12-14 16:27:01.0;2022-12-16 08:16:29.0;4;8;2022-12-17 12:45:42.0;15;CURICO;Recepcionada;'9790184',
48;9790220;2022-12-15 18:18:02.0;2022-12-16 08:15:08.0;8;11;2022-12-21 08:28:59.0;118;CONCEPCION BARROS;Recepcionada;'9790220',
48;9790218;2022-12-15 18:21:02.0;2022-12-16 08:16:39.0;4;8;2022-12-17 12:48:59.0;15;CURICO;Recepcionada;'9790218',
48;9790215;2022-12-15 18:21:02.0;2022-12-16 08:19:10.0;1;1;2022-12-19 12:22:15.0;60;VIÑA CENTRO;Recepcionada;'9790215',
48;9790246;2022-12-15 18:21:02.0;2022-12-16 08:19:21.0;5;7;2022-12-19 12:31:49.0;60;VIÑA CENTRO;Recepcionada;'9790246',
48;9790222;2022-12-15 18:21:02.0;2022-12-16 08:21:21.0;3;4;2022-12-19 09:32:20.0;8;PUENTE ALTO;Recepcionada;'9790222',
48;9790216;2022-12-15 18:21:02.0;2022-12-16 08:54:26.0;6;18;2022-12-21 15:46:32.0;66;MAIPU;Recepcionada;'9790216',
48;9790223;2022-12-15 18:21:02.0;2022-12-19 08:27:22.0;2;3;2022-12-22 11:39:34.0;14;RANCAGUA;Recepcionada;'9790223',
48;9790214;2022-12-15 18:21:02.0;2022-12-20 06:39:48.0;12;14;2022-12-21 13:26:40.0;29;ALAMEDA CENTRO;Recepcionada;'9790214',
70;5631394;2022-12-16 09:33:07.0;2022-12-16 09:47:38.0;374;5257;null;23;VALDIVIA;Emitida;'5631394',
70;5631438;2022-12-16 09:33:12.0;2022-12-16 09:49:21.0;398;5637;2022-12-19 18:40:43.0;92;LA SERENA PASEO BALMACEDA;Recepcionada;'5631438',
70;5631400;2022-12-16 09:36:01.0;2022-12-16 09:40:33.0;1;10;2022-12-21 16:48:48.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'5631400',
70;5631431;2022-12-16 09:42:07.0;2022-12-16 09:46:40.0;452;6384;2022-12-20 12:48:44.0;78;VALLENAR;Recepcionada;'5631431',
70;5631440;2022-12-16 10:03:16.0;2022-12-16 10:07:55.0;512;7003;2022-12-19 21:46:12.0;4;LA SERENA;Recepcionada;'5631440',
70;5631392;2022-12-16 10:12:09.0;2022-12-16 10:47:47.0;249;3580;2022-12-20 13:00:23.0;25;PUERTO MONTT;Recepcionada;'5631392',
48;9790288;2022-12-16 10:36:02.0;null;1;2;null;0;SUCURSAL N-A;Generada;'9790288',
70;5631390;2022-12-16 10:48:08.0;2022-12-16 11:01:13.0;244;3561;2022-12-20 12:37:54.0;50;MALL PUERTO MONTT;Recepcionada;'5631390',
70;5631429;2022-12-16 11:03:16.0;2022-12-16 11:19:31.0;710;9460;2022-12-19 13:45:58.0;32;OVALLE;Recepcionada;'5631429',
70;5631448;2022-12-16 11:06:13.0;2022-12-16 12:00:21.0;649;8597;null;20;TEMUCO MONTT;Emitida;'5631448',
70;5631449;2022-12-16 11:21:04.0;2022-12-16 12:01:27.0;153;2125;null;19;TEMUCO VIVO;Emitida;'5631449',
