ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
49;626435;2022-12-06 12:07:51.0;2022-12-19 08:58:26.0;34;497;null;24;OSORNO;Emitida;'626435',
27;626854;2022-12-15 17:38:31.0;2022-12-15 18:50:12.0;3;32;2022-12-19 18:01:04.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'626854',
27;626855;2022-12-15 17:44:14.0;2022-12-15 18:51:47.0;19;518;2022-12-19 18:00:47.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'626855',
25;626891;2022-12-18 09:56:46.0;2022-12-18 10:02:05.0;15;214;null;50;MALL PUERTO MONTT;Emitida;'626891',
50;626892;2022-12-19 09:23:01.0;2022-12-19 09:47:26.0;84;1324;2022-12-21 08:03:35.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'626892',
25;626901;2022-12-19 11:47:34.0;2022-12-19 11:55:15.0;20;226;null;41;VICTORIA;Emitida;'626901',
49;626911;2022-12-19 12:50:47.0;2022-12-19 15:04:08.0;27;1484;null;117;ALAMEDA NORTE;Emitida;'626911',
49;626912;2022-12-19 13:13:10.0;2022-12-19 15:05:26.0;26;1535;null;117;ALAMEDA NORTE;Emitida;'626912',
49;626913;2022-12-19 13:23:57.0;2022-12-19 13:28:30.0;4;1000;null;98;LA CALERA;Emitida;'626913',
49;626914;2022-12-19 14:48:58.0;2022-12-19 15:06:22.0;23;1139;null;117;ALAMEDA NORTE;Emitida;'626914',
49;626915;2022-12-19 15:11:48.0;2022-12-19 15:28:36.0;10;526;null;117;ALAMEDA NORTE;Emitida;'626915',
1;626917;2022-12-19 20:10:58.0;2022-12-19 20:24:32.0;10;178;null;117;ALAMEDA NORTE;Emitida;'626917',
1;626918;2022-12-19 20:15:59.0;2022-12-19 20:22:21.0;8;213;null;32;OVALLE;Emitida;'626918',
1;626919;2022-12-19 20:17:44.0;2022-12-19 20:27:37.0;2;24;null;49;BODEGA EXTERNA LOGINSA;Emitida;'626919',
24;626920;2022-12-20 11:48:18.0;2022-12-20 16:13:38.0;19;241;null;14;RANCAGUA;Emitida;'626920',
24;626921;2022-12-20 11:50:11.0;2022-12-20 16:23:32.0;10;130;null;118;CONCEPCION BARROS;Emitida;'626921',
24;626922;2022-12-20 11:56:06.0;2022-12-20 16:21:18.0;23;274;null;23;VALDIVIA;Emitida;'626922',
24;626923;2022-12-20 12:38:18.0;2022-12-20 16:18:29.0;36;410;null;94;VILLARRICA;Emitida;'626923',
69;626924;2022-12-20 18:35:14.0;2022-12-20 18:42:41.0;121;1587;2022-12-21 21:40:36.0;14;RANCAGUA;Recepcionada;'626924',
81;626925;2022-12-20 21:24:14.0;2022-12-20 21:41:59.0;18;216;null;118;CONCEPCION BARROS;Emitida;'626925',
49;626964;2022-12-21 13:31:57.0;2022-12-21 14:04:08.0;20;312;2022-12-22 11:01:06.0;68;ARAUCO MAIPU;Recepcionada;'626964',
49;627010;2022-12-21 13:55:22.0;2022-12-21 14:04:54.0;23;362;2022-12-22 11:01:07.0;68;ARAUCO MAIPU;Recepcionada;'627010',
